class_name,top_ratio,sample_count,anomaly_count,positive_count,mean_anomaly_topk,mean_positive_topk,min_anomaly_topk,max_positive_topk,strict_object_pass,soft_object_pass,mean_gt_background_gap,mean_topk_gt_hit_rate,mean_gt_coverage,mean_gt_enrichment,weak_localization_count
cap3,0.01,34,19,15,0.017041,0.023816,0.002774,0.098255,False,False,0.005412,0.428755,0.29374,29.34538,5
cap3,0.02,34,19,15,0.012419,0.019728,0.001923,0.091445,False,False,0.005412,0.339217,0.470016,23.477853,3
cap3,0.05,34,19,15,0.006831,0.013322,0.001214,0.071249,False,False,0.005412,0.184916,0.624027,12.468364,2
cap3,0.1,34,19,15,0.004177,0.008095,0.000895,0.042974,False,False,0.005412,0.098423,0.678223,6.779749,2
helmet1,0.01,29,14,15,0.018043,0.015406,0.015434,0.018515,False,False,0.0029,0.41899,0.145413,14.527125,3
helmet1,0.02,29,14,15,0.015806,0.013799,0.013766,0.016759,False,False,0.0029,0.300523,0.211024,10.540919,1
helmet1,0.05,29,14,15,0.012362,0.011071,0.010741,0.014644,False,False,0.0029,0.23554,0.417749,8.346837,0
helmet1,0.1,29,14,15,0.010244,0.009598,0.009162,0.01302,False,False,0.0029,0.141942,0.501564,5.013808,0
tap1,0.01,33,18,15,0.015977,0.000963,0.000467,0.001367,False,True,0.00879,0.590786,0.283166,28.288964,2
tap1,0.02,33,18,15,0.012705,0.000768,0.00034,0.001169,False,True,0.00879,0.503218,0.44998,22.477034,1
tap1,0.05,33,18,15,0.007679,0.00055,0.000218,0.000911,False,True,0.00879,0.301965,0.631329,12.61426,1
tap1,0.1,33,18,15,0.004301,0.000411,0.000157,0.00072,False,True,0.00879,0.169378,0.696611,6.963564,1
